SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0517    2351,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,538,217,60,2023/10/10 05:16:33+00,21263715
0517    2352,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,761,217,89,2023/10/10 05:16:33+00,21263716
0517    2353,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1183,217,138,2023/10/10 05:16:33+00,21263717
0517    2354,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1095,217,130,2023/10/10 05:16:33+00,21263718
0517    2355,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,838,217,96,2023/10/10 05:16:33+00,21263719
0517    2356,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1029,217,120,2023/10/10 05:16:33+00,21263720
0517    2357,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1029,217,120,2023/10/10 05:16:33+00,21263721
0517    2358,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,838,217,96,2023/10/10 05:16:33+00,21263722
0517    2359,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1007,217,117,2023/10/10 05:16:33+00,21263723
0517    2360,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/29 00:00:00+00,0,U,2003,,2006,1,1192,217,142,2023/10/10 05:16:33+00,21263724
0517    2361,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,763,217,89,2023/10/10 05:16:33+00,21263725
0517    2362,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,763,217,89,2023/10/10 05:16:33+00,21263726
0517    2363,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,763,217,89,2023/10/10 05:16:33+00,21263727
0517    2364,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,763,217,89,2023/10/10 05:16:33+00,21263728
0517    2365,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,522,217,60,2023/10/10 05:16:33+00,21263729
0517    2366,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,947,217,113,2023/10/10 05:16:33+00,21263730
0517    2367,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,996,217,119,2023/10/10 05:16:33+00,21263731
0517    2368,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,766,217,89,2023/10/10 05:16:33+00,21263732
0517    2369,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,766,217,89,2023/10/10 05:16:33+00,21263733
0517    2370,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,766,217,89,2023/10/10 05:16:33+00,21263734
0517    2371,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/27 00:00:00+00,0,U,2003,,2006,1,714,217,82,2023/10/10 05:16:33+00,21263735
0517    2372,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,661,217,79,2023/10/10 05:16:33+00,21263736
