SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0134    2058,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2012/12/27 00:00:00+00,182000,U,1964,1978,1964,1,324,58,88,2023/10/10 05:16:33+00,21215347
0134    2059,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2005/05/04 00:00:00+00,320000,U,1964,1978,1964,1,338,58,88,2023/10/10 05:16:33+00,21215348
0134    2060,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2005/05/04 00:00:00+00,320000,U,1964,1978,1964,1,330,58,88,2023/10/10 05:16:33+00,21215349
0135    0004,1,1,C,Brick/Concr,40,Good,BR,Brick,10,314,2010/04/07 00:00:00+00,0,U,1947,2009,1993,1,192274,32,24270,2023/10/10 05:16:33+00,21215350
0135    0005,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1892,1983,1977,1,24754,34,8614,2023/10/10 05:16:33+00,21215351
0135    0006,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,0,1986,1987,1,10404,85,2535,2023/10/10 05:16:33+00,21215352
0136    0001,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1900,,2000,1,22935,85,10620,2023/10/10 05:16:33+00,21215353
0136    0010,1,1,C,Brick/Concr,45,Good +,BR,Brick,8,1,2019/06/28 00:00:00+00,3350000,Q,1963,,1995,3,4546,42,1545,2023/10/10 05:16:33+00,21215354
0136    0026,1,1,C,Brick/Concr,60,Excellent,BR,Brick,9,,1900/01/01 00:00:00+00,,U,1890,1991,1988,1,9095,42,2275,2023/10/10 05:16:33+00,21215355
0136    0027,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1999/06/01 00:00:00+00,975000,Q,1900,,1989,1,4353,85,1419,2023/10/10 05:16:33+00,21215356
0136    0028,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,9,,2004/08/02 00:00:00+00,1580000,Q,1959,,1987,1,4453,42,1399,2023/10/10 05:16:33+00,21215357
0136    0032,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1912,,1995,1,17532,85,4900,2023/10/10 05:16:33+00,21215358
0136    0033,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,1997/11/12 00:00:00+00,0,U,1890,1978,1980,1,9337,85,4284,2023/10/10 05:16:33+00,21215359
0136    0034,1,1,LR,Low Rise,50,Very Good,BR,Brick,10,92,2014/06/24 00:00:00+00,20000000,Q,1890,2017,2000,2,21465,22,13853,2023/10/10 05:16:33+00,21215360
0136    0034,2,1,HR,High Rise,60,Excellent,BR,Brick,10,92,2014/06/24 00:00:00+00,20000000,Q,2017,,2017,2,29454,22,13853,2023/10/10 05:16:33+00,21258241
0136    0035,1,1,B,Reinf Concr,30,Average,BV,Brick Veneer,10,,2014/09/24 00:00:00+00,25810000,Q,1974,1992,1974,4,171077,52,19098,2023/10/10 05:16:33+00,21258242
0136    0036,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2006/09/13 00:00:00+00,4000000,Q,1957,2007,2005,1,8510,42,2388,2023/10/10 05:16:33+00,21258243
0136    0802,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,2007/07/03 00:00:00+00,3184500,U,1900,,1990,1,4746,85,2000,2023/10/10 05:16:33+00,21258244
0136    0806,1,1,C,Brick/Concr,60,Excellent,BR,Brick,9,,1997/11/12 00:00:00+00,0,U,1890,1947,1985,1,8500,85,2104,2023/10/10 05:16:33+00,21258245
0136    0807,1,1,C,Brick/Concr,60,Excellent,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1900,1962,1989,1,16500,51,5575,2023/10/10 05:16:33+00,21258246
0137    0012,1,1,C,Brick/Concr,45,Good +,0,Typical,12,,1900/01/01 00:00:00+00,,U,1912,1962,1982,1,9539,51,2600,2023/10/10 05:16:33+00,21258247
0137    0013,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,2001/01/01 00:00:00+00,0,U,1962,1992,1975,1,2264,61,2610,2023/10/10 05:16:33+00,21258248
0137    0043,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2021/12/27 00:00:00+00,3000000,Q,1909,1960,1984,2,7822,51,2277,2023/10/10 05:16:33+00,21258249
0137    0049,1,1,B,Reinf Concr,40,Good,BR,Brick,12,,2022/11/18 00:00:00+00,0,U,1928,,1981,2,5484,45,1890,2023/10/10 05:16:33+00,21258250
0137    0052,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2012/12/31 00:00:00+00,0,U,1928,2017,1984,1,8928,41,2757,2023/10/10 05:16:33+00,21258251
0137    0054,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2010/03/19 00:00:00+00,5400000,Q,1923,,1989,1,16848,42,5527,2023/10/10 05:16:33+00,21258252
0137    0056,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2003/12/12 00:00:00+00,61000000,Q,1978,,1993,1,185604,52,29054,2023/10/10 05:16:33+00,21258253
0137    0057,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2018/04/27 00:00:00+00,0,U,1920,,1990,2,8076,51,2235,2023/10/10 05:16:33+00,21258254
0137    0058,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2012/12/31 00:00:00+00,0,U,1928,,1985,1,8908,42,2625,2023/10/10 05:16:33+00,21258255
0137    0060,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2015/06/23 00:00:00+00,0,U,1922,2017,1965,2,8415,42,2586,2023/10/10 05:16:33+00,21258256
0137    0805,1,1,C,Brick/Concr,45,Good +,BR,Brick,12,,2004/01/08 00:00:00+00,3450000,Q,1912,1984,1998,1,10379,51,3150,2023/10/10 05:16:33+00,21258257
0137    0817,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2016/02/11 00:00:00+00,0,U,1912,,1960,2,4396,42,1515,2023/10/10 05:16:33+00,21258258
0137    0820,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2023/04/28 00:00:00+00,0,U,1928,,1967,2,5158,45,2145,2023/10/10 05:16:33+00,21258259
0137    0821,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2012/09/12 00:00:00+00,820000,U,1928,,1998,1,4923,42,1450,2023/10/10 05:16:33+00,21258260
0137    0825,1,1,0,No Data,0,Default,,,,0,2020/10/27 00:00:00+00,32433400,U,2008,,2008,3,0,52,7512,2023/10/10 05:16:33+00,21258261
0137    0826,1,1,C,Brick/Concr,55,Very Good +,,,12,0,2020/10/27 00:00:00+00,32433400,U,2008,,2009,3,5545,42,1562,2023/10/10 05:16:33+00,21258262
0137    0827,1,1,C,Brick/Concr,10,Poor,BR,Brick,,,2014/07/10 00:00:00+00,0,U,,,1934,1,27880,52,7799,2023/10/10 05:16:33+00,21258263
0137    0828,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1870,1951,1985,1,15074,51,6189,2023/10/10 05:16:33+00,21258264
0137    7000,1,1,,,,,,,,,2014/05/12 00:00:00+00,2200000,U,,,1924,2,5509,52,0,2023/10/10 05:16:33+00,21258265
0137N   0800,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,1,1900/01/01 00:00:00+00,,U,1901,2004,1949,1,25836,34,5673,2023/10/10 05:16:33+00,21258266
0138    0013,1,1,C,Brick/Concr,40,Good,0,Typical,12,,2023/07/25 00:00:00+00,39300000,Q,1926,1987,1997,4,239502,52,20267,2023/10/10 05:16:33+00,21258267
0138    0803,1,1,B,Reinf Concr,50,Very Good,BR,Brick,10,,2004/04/01 00:00:00+00,86606000,U,1984,,1995,1,255095,52,31974,2023/10/10 05:16:33+00,21258268
0138    0804,1,1,B,Reinf Concr,50,Very Good,BV,Brick Veneer,10,,2009/03/11 00:00:00+00,63600000,Q,1956,1993,1997,1,147560,52,18447,2023/10/10 05:16:33+00,21258269
0139    0004,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,12,,2021/08/05 00:00:00+00,2675000,Q,1889,1986,1980,3,4144,49,2120,2023/10/10 05:16:33+00,21258270
0139    0005,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2004/09/01 00:00:00+00,0,U,1924,,1977,1,5344,45,2120,2023/10/10 05:16:33+00,21258271
0139    0006,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1889,1949,1970,1,6836,42,2120,2023/10/10 05:16:33+00,21258272
0139    0007,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2010/07/16 00:00:00+00,0,U,1889,1987,1977,1,6350,45,2120,2023/10/10 05:16:33+00,21258273
0139    0008,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1917,,1982,1,5200,45,2120,2023/10/10 05:16:33+00,21258274
0139    0011,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1900,1961,1984,1,3888,45,2120,2023/10/10 05:16:33+00,21258275
0139    0015,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2004/04/16 00:00:00+00,4800000,Q,1890,1984,1987,1,10294,51,2650,2023/10/10 05:16:33+00,21258276
0139    0016,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,,2019/12/18 00:00:00+00,0,U,1900,1987,1994,3,7872,51,2120,2023/10/10 05:16:33+00,21258277
0139    0025,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,10,,2014/12/22 00:00:00+00,0,U,1900,1984,1987,2,6893,51,2120,2023/10/10 05:16:33+00,21258278
0139    0028,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2016/11/21 00:00:00+00,3800000,Q,1837,2017,1982,3,5228,51,2384,2023/10/10 05:16:33+00,21258279
0139    0029,1,1,C,Brick/Concr,45,Good +,BR,Brick,10,,2022/03/29 00:00:00+00,2000000,Q,1954,1981,2000,2,5365,51,1840,2023/10/10 05:16:33+00,21258280
0139    0030,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,,2003/06/02 00:00:00+00,1300000,Q,1884,1991,1997,1,5447,51,1840,2023/10/10 05:16:33+00,21258281
0139    0031,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1902,1981,1994,1,4923,51,1840,2023/10/10 05:16:33+00,21258282
0139    0038,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2016/12/22 00:00:00+00,6250000,Q,1880,1885,1996,2,7583,51,2880,2023/10/10 05:16:33+00,21258283
0139    0054,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,14,,1900/01/01 00:00:00+00,,U,1935,1993,2000,1,8562,49,3372,2023/10/10 05:16:33+00,21258284
0139    0055,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1931,1961,1987,1,11653,45,2976,2023/10/10 05:16:33+00,21258285
0139    0056,1,1,C,Brick/Concr,60,Excellent,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1900,1953,1982,1,9358,42,2976,2023/10/10 05:16:33+00,21258286
0139    0057,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1920,1986,1975,1,11479,42,2976,2023/10/10 05:16:33+00,21258287
0139    0070,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,1994/11/23 00:00:00+00,185000,Q,1900,1980,1994,1,11564,51,4240,2023/10/10 05:16:33+00,21258288
0139    0073,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2020/04/15 00:00:00+00,7000000,Q,1900,1949,1978,2,5416,42,4228,2023/10/10 05:16:33+00,21258289
0139    0073,2,1,0,No Data,0,Default,BR,Brick,12,,2020/04/15 00:00:00+00,7000000,Q,1948,,1948,2,3630,42,4228,2023/10/10 05:16:33+00,21258290
0139    0073,3,1,0,No Data,0,Default,BR,Brick,12,,2020/04/15 00:00:00+00,7000000,Q,1948,,1948,2,1804,42,4228,2023/10/10 05:16:33+00,21258291
0139    0074,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2001/01/01 00:00:00+00,0,U,1983,,1995,1,101988,52,15840,2023/10/10 05:16:33+00,21258292
0139    0075,1,1,B,Reinf Concr,55,Very Good +,BR,Brick,10,,2014/09/16 00:00:00+00,3700000,Q,1890,1940,1981,5,4970,51,4240,2023/10/10 05:16:33+00,21258293
0139    0075,2,1,0,No Data,0,Default,BR,Brick,12,,2014/09/16 00:00:00+00,3700000,Q,1964,,1964,5,4020,51,4240,2023/10/10 05:16:33+00,21258294
0139    0810,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1947,1985,1996,1,192584,52,15276,2023/10/10 05:16:33+00,21258295
0139    0811,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,2018/07/26 00:00:00+00,5850000,Q,1908,1989,1975,3,6148,51,4228,2023/10/10 05:16:33+00,21258296
0139    0815,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1945,1970,1983,1,5821,45,4240,2023/10/10 05:16:33+00,21258297
0139    0815,2,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1945,,1945,1,3902,45,4240,2023/10/10 05:16:33+00,21258298
0139    0816,1,1,C,Brick/Concr,40,Good,0,Typical,12,,2017/03/31 00:00:00+00,0,U,1964,,1982,2,232204,52,26596,2023/10/10 05:16:33+00,21258299
0139    0817,1,1,B,Reinf Concr,40,Good,0,Typical,12,,2018/08/14 00:00:00+00,26400000,U,1963,1981,1994,7,101337,52,11408,2023/10/10 05:16:33+00,21258300
0139    0818,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1920,1970,1985,1,8340,42,5870,2023/10/10 05:16:33+00,21258301
0139    0818,2,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1912,,1924,1,6040,42,5870,2023/10/10 05:16:33+00,21258302
0139    0822,1,1,C,Brick/Concr,40,Good,BR,Brick,,1,1900/01/01 00:00:00+00,0,U,1890,,1990,1,3796,42,1300,2023/10/10 05:16:33+00,21258303
0139    0823,1,1,C,Brick/Concr,45,Good +,BR,Brick,13,0,1900/01/01 00:00:00+00,0,U,1890,2001,1990,1,24972,42,5590,2023/10/10 05:16:33+00,21258304
0140    0086,1,1,B,Reinf Concr,40,Good,MS,Metal Siding,10,99,2006/02/08 00:00:00+00,14500000,Q,1965,,1990,1,84839,31,9625,2023/10/10 05:16:33+00,21258305
0140    0089,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,2004/11/05 00:00:00+00,43700000,Q,1978,,1992,1,147460,52,14012,2023/10/10 05:16:33+00,21258306
0140    0090,1,1,B,Reinf Concr,55,Very Good +,0,Typical,12,,2017/09/20 00:00:00+00,203000000,Q,1979,1992,1987,3,270061,52,26195,2023/10/10 05:16:33+00,21258307
0140    0092,1,1,B,Reinf Concr,40,Good,0,Typical,12,,2023/08/23 00:00:00+00,37500000,U,1985,,1995,3,302448,52,24810,2023/10/10 05:16:33+00,21258308
0140    0093,1,1,B,Reinf Concr,60,Excellent,0,Typical,12,,2022/07/08 00:00:00+00,63033197,U,1987,,1997,9,173965,52,24272,2023/10/10 05:16:33+00,21258309
0140    0094,1,1,B,Reinf Concr,55,Very Good +,0,Typical,12,,2009/12/23 00:00:00+00,21700000,U,1990,,1993,1,170247,52,19966,2023/10/10 05:16:33+00,21258310
0140    0095,1,1,B,Reinf Concr,40,Good,0,Typical,12,,2017/10/16 00:00:00+00,421000000,Q,1978,,1992,3,550211,52,62038,2023/10/10 05:16:33+00,21258311
0140    0876,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1982,,1994,1,70262,52,5500,2023/10/10 05:16:33+00,21258312
0140    0907,1,1,B,Reinf Concr,40,Good,0,Typical,12,,2016/01/14 00:00:00+00,0,U,1980,,1994,2,275585,52,17813,2023/10/10 05:16:33+00,21258313
0140    0913,1,1,B,Reinf Concr,40,Good,0,Typical,12,,2009/05/22 00:00:00+00,40114721,Q,1955,1992,1987,1,173812,52,18791,2023/10/10 05:16:33+00,21258314
0141    0028,1,1,A,Struct Steel,50,Very Good,C,Concrete,10,0,1900/01/01 00:00:00+00,,U,1935,1993,1989,1,1310661,52,147161,2023/10/10 05:16:33+00,21258315
0142    0024,1,1,C,Brick/Concr,60,Excellent,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1824,,1980,1,11865,51,13518,2023/10/10 05:16:33+00,21258316
0142    0025,1,1,B,Reinf Concr,40,Good,C,Concrete,8,0,1900/01/01 00:00:00+00,,U,1979,,1988,1,360723,52,34247,2023/10/10 05:16:33+00,21258317
0142    0825,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,1973/07/05 00:00:00+00,0,U,1965,1993,1990,1,813848,52,54457,2023/10/10 05:16:33+00,21258318
0143    0800,1,1,C,Brick/Concr,50,Very Good,S,Stone,8,0,1900/01/01 00:00:00+00,0,U,1916,,1986,1,803400,52,157716,2023/10/10 05:16:33+00,21258319
0144    0818,1,1,A,Struct Steel,50,Very Good,S,Stone,8,0,1900/01/01 00:00:00+00,0,U,1936,,1945,1,1203728,52,153727,2023/10/10 05:16:33+00,21258320
0147    0802,1,1,B,Reinf Concr,60,Excellent,BR,Brick,8,0,1900/01/01 00:00:00+00,0,U,1948,,1986,1,57120,52,94446,2023/10/10 05:16:33+00,21258321
0150    0085,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2001/07/24 00:00:00+00,344000,Q,1880,1985,1985,1,2516,46,1055,2023/10/10 05:16:33+00,21258322
0150    0153,1,1,C,Brick/Concr,35,Average +,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1925,1986,1980,1,4402,42,1184,2023/10/10 05:16:33+00,21258323
0150    0154,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1910,,1992,1,2965,42,1184,2023/10/10 05:16:33+00,21258324
0150    0155,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,2,1900/01/01 00:00:00+00,,U,1910,,1980,1,2398,42,1184,2023/10/10 05:16:33+00,21258325
0150    0156,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1910,,1975,1,2728,42,1184,2023/10/10 05:16:33+00,21258326
0150    0157,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1915,1954,1985,1,2424,1,1184,2023/10/10 05:16:33+00,21258327
0150    0304,1,1,C,Brick/Concr,45,Good +,BR,Brick,12,,2012/03/15 00:00:00+00,1000000,Q,1910,2005,1995,1,2675,42,1583,2023/10/10 05:16:33+00,21258328
0150    0309,1,1,10,4 Story,50,Very Good,BR,Brick,8,8,1900/01/01 00:00:00+00,0,U,2018,,2018,1,7928,22,3413,2023/10/10 05:16:33+00,21258329
0150    0802,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,10,,2008/06/04 00:00:00+00,1375000,Q,1928,1990,2000,1,3586,49,1692,2023/10/10 05:16:33+00,21258330
0150    2001,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2007/11/07 00:00:00+00,264500,Q,1910,1984,1910,1,746,216,340,2023/10/10 05:16:33+00,21258331
0150    2002,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2007/11/06 00:00:00+00,207000,Q,1910,1984,1910,1,731,216,231,2023/10/10 05:16:33+00,21258332
0150    2003,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2007/11/07 00:00:00+00,310500,Q,1910,,1910,1,731,216,476,2023/10/10 05:16:33+00,21258333
0150    2004,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2007/11/09 00:00:00+00,365960,Q,1910,1984,1910,1,948,216,313,2023/10/10 05:16:33+00,21258334
0151    0006,1,1,C,Brick/Concr,30,Average,BR,Brick,9,11,2016/08/29 00:00:00+00,2050000,U,1955,2017,1985,2,8715,21,2200,2023/10/10 05:16:33+00,21258335
0151    0148,1,1,C,Brick/Concr,30,Average,BR,Brick,12,1,2021/06/08 00:00:00+00,1361500,Q,1925,,1980,3,1602,41,2200,2023/10/10 05:16:33+00,21258336
0151    0150,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,1999/04/01 00:00:00+00,0,U,1923,,1985,1,3655,45,1320,2023/10/10 05:16:33+00,21258337
0151    0151,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,2014/11/21 00:00:00+00,1707000,Q,1923,1927,1985,3,3127,42,1320,2023/10/10 05:16:33+00,21258338
0161    0030,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2005/09/28 00:00:00+00,0,U,1968,,1972,1,232614,52,16610,2023/10/10 05:16:33+00,21258339
0161    0031,1,1,B,Reinf Concr,60,Excellent,0,Typical,10,,1900/01/01 00:00:00+00,0,U,1965,1986,1965,1,110099,52,14360,2023/10/10 05:16:33+00,21258340
0161    0032,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2021/08/03 00:00:00+00,38800000,U,1967,,1987,3,245932,52,17959,2023/10/10 05:16:33+00,21258341
0161    0037,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1959,,1983,1,403277,52,35063,2023/10/10 05:16:33+00,21258342
0161    0038,1,1,B,Reinf Concr,45,Good +,C,Concrete,10,,1900/01/01 00:00:00+00,,U,1975,,1990,1,246682,52,15118,2023/10/10 05:16:33+00,21258343
0161    0039,1,1,B,Reinf Concr,50,Very Good,C,Concrete,10,,2004/04/22 00:00:00+00,66300000,Q,1984,,1995,1,290618,52,20995,2023/10/10 05:16:33+00,21258344
0162    0019,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2002/07/02 00:00:00+00,8750000,U,1959,,1963,1,47898,52,2700,2023/10/10 05:16:33+00,21258345
0162    0037,1,1,B,Reinf Concr,40,Good,C,Concrete,9,,2010/02/19 00:00:00+00,0,U,1963,,1967,1,295925,52,3192,2023/10/10 05:16:33+00,21258346
0162    0055,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,13,,2006/03/06 00:00:00+00,2000000,U,1915,,1983,1,5121,42,1645,2023/10/10 05:16:33+00,21258347
0162    0056,1,1,C,Brick/Concr,30,Average,C,Concrete,13,,2006/03/06 00:00:00+00,1350000,Q,1916,1940,1980,1,4886,42,1622,2023/10/10 05:16:33+00,21258348
0162    0092,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2019/02/28 00:00:00+00,61750000,U,1962,1998,1985,5,157120,52,7976,2023/10/10 05:16:33+00,21258349
0162    0096,1,1,B,Reinf Concr,40,Good,C,Concrete,11,,1900/01/01 00:00:00+00,,U,1978,1992,1992,1,179563,52,17566,2023/10/10 05:16:33+00,21258350
0162    0098,1,1,B,Reinf Concr,40,Good,C,Concrete,11,,2017/01/04 00:00:00+00,0,U,1980,,1993,2,94968,52,15100,2023/10/10 05:16:33+00,21258351
0162    0100,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,2017/06/19 00:00:00+00,64250000,Q,1984,,1995,2,90346,52,10426,2023/10/10 05:16:33+00,21258352
0162    0101,1,1,B,Reinf Concr,55,Very Good +,C,Concrete,10,,1900/01/01 00:00:00+00,0,U,1988,,1997,1,236563,52,16285,2023/10/10 05:16:33+00,21258353
0162    0102,1,1,C,Brick/Concr,55,Very Good +,C,Concrete,13,,2014/08/21 00:00:00+00,0,U,1930,2011,1973,2,14066,51,2019,2023/10/10 05:16:33+00,21258354
0162    0103,1,1,A,Struct Steel,40,Good,0,Typical,,,2019/01/25 00:00:00+00,117094033,U,2023,,2023,2,371800,52,33516,2023/10/10 05:16:33+00,21258355
0162    0817,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2003/06/02 00:00:00+00,6300000,Q,1964,1986,1968,1,33778,52,3800,2023/10/10 05:16:33+00,21258356
0162    0818,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,13,,2005/05/26 00:00:00+00,2890000,Q,1916,,1987,1,6660,42,2122,2023/10/10 05:16:33+00,21258357
0162    0821,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2023/03/07 00:00:00+00,0,U,1963,,1986,4,165374,52,12150,2023/10/10 05:16:33+00,21258358
0162    0822,1,1,B,Reinf Concr,40,Good,C,Concrete,9,,2008/02/05 00:00:00+00,0,U,1962,1990,1966,1,121709,52,10153,2023/10/10 05:16:33+00,21258359
0162    0823,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,660,1900/01/01 00:00:00+00,0,U,1925,1991,1977,1,583918,32,64606,2023/10/10 05:16:33+00,21258360
0162    2001,1,1,0,No Data,0,Default,0,Typical,,1,2016/03/17 00:00:00+00,6620978,U,2017,,2017,2,20653,32,0,2023/10/10 05:16:33+00,21258361
0162    2002,1,1,0,No Data,0,Default,0,Typical,,1,2016/03/17 00:00:00+00,6620978,U,2017,,2017,2,20653,32,0,2023/10/10 05:16:33+00,21258362
0162    7001,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2016,,0,1,0,32,0,2023/10/10 05:16:33+00,21258363
0162    7002,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2016,,0,1,0,32,0,2023/10/10 05:16:33+00,21258364
0163    0051,1,1,B,Reinf Concr,40,Good,BR,Brick,13,,2003/12/09 00:00:00+00,0,U,1969,,1973,1,214784,52,15408,2023/10/10 05:16:33+00,21258365
0163    0052,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2015/12/21 00:00:00+00,39000000,Q,1970,,1974,4,139664,52,12742,2023/10/10 05:16:33+00,21258366
0163    0055,1,1,B,Reinf Concr,60,Excellent,C,Concrete,11,,2016/03/23 00:00:00+00,0,U,1981,,1994,6,967088,52,64601,2023/10/10 05:16:33+00,21258367
0163    0056,1,1,A,Struct Steel,60,Excellent,,,,1,2008/11/05 00:00:00+00,0,U,2012,,2014,1,430428,52,33128,2023/10/10 05:16:33+00,21258368
0163    0849,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2022/11/08 00:00:00+00,15500000,Q,1963,,1967,3,96720,52,8814,2023/10/10 05:16:33+00,21258369
0164    0001,1,1,B,Reinf Concr,40,Good,SV,Stone Veneer,10,,2002/09/13 00:00:00+00,15000000,Q,1954,1988,1980,1,70785,52,5464,2023/10/10 05:16:33+00,21258370
0164    0003,1,1,B,Reinf Concr,30,Average,C,Concrete,8,0,2000/12/01 00:00:00+00,23000000,U,1953,2001,1980,1,171080,52,8468,2023/10/10 05:16:33+00,21258371
0164    0035,1,1,B,Reinf Concr,45,Good +,C,Concrete,10,,1900/01/01 00:00:00+00,,U,1967,1992,1987,1,466690,52,30141,2023/10/10 05:16:33+00,21258372
0164    0036,1,1,,,50,Very Good,,,,,2023/03/31 00:00:00+00,59812500,U,2020,,2020,3,159380,52,15288,2023/10/10 05:16:33+00,21258373
0165    0017,1,1,B,Reinf Concr,45,Good +,C,Concrete,10,,2023/08/14 00:00:00+00,7700000,Q,1987,,1992,3,29446,52,2663,2023/10/10 05:16:33+00,21258374
0165    0026,1,1,A,Struct Steel,55,Very Good +,,,13,1,2005/09/02 00:00:00+00,80000000,Q,2009,,2009,1,313500,52,21827,2023/10/10 05:16:33+00,21258375
